mcu,model,total_params_training,training_acc,training_loss,validation_acc,validation_loss,tflite_test_acc,tflite_model_size_bytes,tensor_arena_size,flash_usage_bytes,used_flash_percentage,dram_usage_bytes,used_dram_percentage,avg_inference_time_us,std_inference_time_us,max_inference_time_us,min_inference_time_us
nano_ble_33,dense_model,4019,0.990416646,0.051601492,0.984000027,0.076950081,0.98,18164,9012,171808,17,63496,24,1083.9,18.31,1163,1069
nano_ble_33,dense_model_quantized,4019,0.990416646,0.051601492,0.984000027,0.076950081,0.9826,7048,6328,164312,16,60712,23,2834.05,16.35,2866,2796
nano_ble_33,conv_model_paper2D,53523,1,0.000136456,0.995999992,0.025308231,0.992666667,219920,145932,390432,39,203960,77,1130094.37,17.98,11300115,1130053
nano_ble_33,conv_model_paper2D_quantized,53523,1,0.000136456,0.995999992,0.025308231,0.992666667,62736,38732,236864,24,95504,36,626224,129.7,626550,626105
nano_ble_33,custom_conv_model,12211,0.997416675,0.012660179,0.988666654,0.058005411,0.9887,52432,49252,222944,22,105656,40,125408,111.23,125792,125253
nano_ble_33,custom_conv_model_quantized,12211,0.997416675,0.012660179,0.988666654,0.058005411,0.988,16712,13476,190840,19,68880,26,64625,339.44,654.36,652756
nucleo_l432kc,dense_model,4019,0.990416646,0.051601492,0.984000027,0.076950081,0.98,18164,8960,75548,28,18672,28,1535.3,1.01,1548,1533
nucleo_l432kc,dense_model_quantized,4019,0.990416646,0.051601492,0.984000027,0.076950081,0.9826,7048,6284,66996,25,15816,24,2300.81,1.48,2315,2299
nucleo_l432kc,conv_model_paper2D,53523,1,0.000136456,0.995999992,0.025308231,0.992666667,219920,0,0,0,0,0,0,0,0,0
nucleo_l432kc,conv_model_paper2D_quantized,53523,1,0.000136456,0.995999992,0.025308231,0.992666667,62736,38672,138960,53,46680,71,390100,61.67,390285,390079
nucleo_l432kc,custom_conv_model,12211,0.997416675,0.012660179,0.988666654,0.058005411,0.9887,52432,49216,126124,48,57204,87,102685.07,10.77,102792,102683
nucleo_l432kc,custom_conv_model_quantized,12211,0.997416675,0.012660179,0.988666654,0.058005411,0.988,16712,13456,92936,35,21440,32,43147.72,12.2,43269,43145
seeduino_xiao,dense_model,4019,0.990416646,0.051601492,0.984000027,0.076950081,0.98,18164,8964,96324,36,0,0,32438.66,2.77,32449,32432
seeduino_xiao,dense_model_quantized,4019,0.990416646,0.051601492,0.984000027,0.076950081,0.9826,7048,6284,87756,33,0,0,20868.58,1.93,20875,20862
seeduino_xiao,conv_model_paper2D,53523,1,0.000136456,0.995999992,0.025308231,0.992666667,219920,0,0,0,0,0,0,0,0,0
seeduino_xiao,conv_model_paper2D_quantized,53523,1,0.000136456,0.995999992,0.025308231,0.992666667,62736,0,0,0,0,0,0,0,0,0
seeduino_xiao,custom_conv_model,12211,0.997416675,0.012660179,0.988666654,0.058005411,0.9887,52432,0,0,0,0,0,0,0,0,0
seeduino_xiao,custom_conv_model_quantized,12211,0.997416675,0.012660179,0.988666654,0.058005411,0.988,16712,13444,113788,43,0,0,185580.59,3.7,185604,185573
nucleo_f401re,dense_model,4019,0.990416646,0.051601492,0.984000027,0.076950081,0.98,18164,8964,71948,13,18588,18,1350.44,0.71,1357,1350
nucleo_f401re,dense_model_quantized,4019,0.990416646,0.051601492,0.984000027,0.076950081,0.9826,7048,6284,63396,12,16448,16,2106.13,0.44,2112,2105
nucleo_f401re,conv_model_paper2D,53523,1,0.000136456,0.995999992,0.025308231,0.992666667,219920,0,0,0,0,0,0,0,0,0
nucleo_f401re,conv_model_paper2D_quantized,53523,1,0.000136456,0.995999992,0.025308231,0.992666667,62736,38676,135360,25,46596,47,364486.31,32.58,364584,364474
nucleo_f401re,custom_conv_model,12211,0.997416675,0.012660179,0.988666654,0.058005411,0.9887,52432,49220,122524,23,57120,58,99225.88,10.59,99296,99192
nucleo_f401re,custom_conv_model_quantized,12211,0.997416675,0.012660179,0.988666654,0.058005411,0.988,16712,13444,89336,17,21356,21,39306.54,7.09,39371,39305
rpi_pico,dense_model,4019,0.990416646,0.051601492,0.984000027,0.076950081,0.98,18164,8963,153870,7,60460,22,11867.22,23.05,12225,11799
rpi_pico,dense_model_quantized,4019,0.990416646,0.051601492,0.984000027,0.076950081,0.9826,7048,6295,145660,6,58320,21,7706.75,18.47,8043,7658
rpi_pico,conv_model_paper2D,53523,1,0.000136456,0.995999992,0.025308231,0.992666667,219920,146312,372485,17,201032,74,3236171,187.8904,3236439,3235901
rpi_pico,conv_model_paper2D_quantized,53523,1,0.000136456,0.995999992,0.025308231,0.992666667,62736,38456,218261,10,93588,34,589597.5,50.8473,589705,589537
rpi_pico,custom_conv_model,12211,0.997416675,0.012660179,0.988666654,0.058005411,0.9887,52432,49128,204997,9,124232,45,183083.5,28.1434,183136,183040
rpi_pico,custom_conv_model_quantized,12211,0.997416675,0.012660179,0.988666654,0.058005411,0.988,16712,13288,172237,8,67988,25,53747.3008,116.0354,54068,53644
esp_32s,dense_model,4019,0.990416646,0.051601492,0.984000027,0.076950081,0.98,18164,8858,252417,6.1,30100,16.7,398.2749,3.1812,645,397
esp_32s,dense_model_quantized,4019,0.990416646,0.051601492,0.984000027,0.076950081,0.9826,7048,6008,248513,6,27428,15.2,1144.2606,4.3867,1218,1142
esp_32s,conv_model_paper2D,53523,1,0.000136456,0.995999992,0.025308231,0.992666667,219920,0,0,0,0,0,0,0,0,0
esp_32s,conv_model_paper2D_quantized,53523,1,0.000136456,0.995999992,0.025308231,0.992666667,62736,38636,313441,7.6,61396,34,172106.2969,72.0834,172322,172078
esp_32s,custom_conv_model,12211,0.997416675,0.012660179,0.988666654,0.058005411,0.9887,52432,49284,295757,7.2,72572,40.2,47669.9648,5.098,47676,47621
esp_32s,custom_conv_model_quantized,12211,0.997416675,0.012660179,0.988666654,0.058005411,0.988,16712,13452,267417,6.5,35797,20.8,22745.2129,20.7841,23352,22739
